timestamp,traceid,service,rpc_id,rpctype,um,uminstanceid,interface,dm,dminstanceid,rt
"106467","T_19364532164","S_33853590","0.1.4","mc","MS_63670","MS_63670_POD_612","e8U8MS9Dfp","MS_37691","MS_37691_POD_5496","1.0"
"106471","T_19364532164","S_33853590","0.4","rpc","MS_63670","MS_63670_POD_612","vs2nQhH1hq","MS_29680","MS_29680_POD_581","0.0"
"106470","T_19364532164","S_33853590","0.3","mc","MS_63670","MS_63670_POD_612","g9oxz20ShF","MS_28617","MS_28617_POD_50","1.0"
"106465","T_19364532164","S_33853590","0.1","rpc","MS_63670","MS_63670_POD_612","tG4AEYijKU","MS_63670","MS_63670_POD_612","4.0"
"106465","T_19364532164","S_33853590","0","http","USER","USER","q3weGSNOG0","MS_63670","MS_63670_POD_612","7.0"
"106470","T_19364532164","S_33853590","0.2","mc","MS_63670","MS_63670_POD_612","6WC4M_bDhX","MS_37691","MS_37691_POD_279","0.0"
"106466","T_19364532164","S_33853590","0.1.2","mc","MS_63670","MS_63670_POD_612","pvwNxGrpwL","MS_37691","MS_37691_POD_4189","1.0"
"106468","T_19364532164","S_33853590","0.1.5","mc","MS_63670","MS_63670_POD_612","okme6n-YEq","MS_37691","MS_37691_POD_4189","1.0"
"106466","T_19364532164","S_33853590","0.1.1","mc","MS_63670","MS_63670_POD_612","OaMaDuq7D2","MS_37691","MS_37691_POD_4189","0.0"
"106467","T_19364532164","S_33853590","0.1.3","mc","MS_63670","MS_63670_POD_612","8VXHoaykGT","MS_35973","MS_35973_POD_391","0.0"
